Archivo,Tamano (MB)
BIOGRID-ORCS-SCREEN_2030-1.1.16.screen.csv,2.134979248046875
BIOGRID-ORCS-SCREEN_2047-1.1.16.screen.csv,2.134378433227539
BIOGRID-ORCS-SCREEN_2037-1.1.16.screen.csv,2.1342735290527344
BIOGRID-ORCS-SCREEN_2042-1.1.16.screen.csv,2.1334095001220703
BIOGRID-ORCS-SCREEN_2038-1.1.16.screen.csv,2.1326494216918945
BIOGRID-ORCS-SCREEN_2029-1.1.16.screen.csv,2.1318750381469727
BIOGRID-ORCS-SCREEN_1792-1.1.16.screen.csv,2.131657600402832
BIOGRID-ORCS-SCREEN_2032-1.1.16.screen.csv,2.1314878463745117
BIOGRID-ORCS-SCREEN_2043-1.1.16.screen.csv,2.1311864852905273
BIOGRID-ORCS-SCREEN_1971-1.1.16.screen.csv,2.1310291290283203
BIOGRID-ORCS-SCREEN_1788-1.1.16.screen.csv,2.1302967071533203
BIOGRID-ORCS-SCREEN_1972-1.1.16.screen.csv,2.129654884338379
BIOGRID-ORCS-SCREEN_2033-1.1.16.screen.csv,2.128424644470215
BIOGRID-ORCS-SCREEN_1449-1.1.16.screen.csv,2.1272525787353516
BIOGRID-ORCS-SCREEN_1970-1.1.16.screen.csv,2.126702308654785
BIOGRID-ORCS-SCREEN_1969-1.1.16.screen.csv,2.126201629638672
BIOGRID-ORCS-SCREEN_2045-1.1.16.screen.csv,2.12587833404541
BIOGRID-ORCS-SCREEN_2022-1.1.16.screen.csv,2.124953269958496
BIOGRID-ORCS-SCREEN_2044-1.1.16.screen.csv,2.124659538269043
BIOGRID-ORCS-SCREEN_2021-1.1.16.screen.csv,2.124387741088867
BIOGRID-ORCS-SCREEN_2026-1.1.16.screen.csv,2.124166488647461
BIOGRID-ORCS-SCREEN_2039-1.1.16.screen.csv,2.123861312866211
BIOGRID-ORCS-SCREEN_2036-1.1.16.screen.csv,2.1235427856445312
BIOGRID-ORCS-SCREEN_2034-1.1.16.screen.csv,2.1234207153320312
BIOGRID-ORCS-SCREEN_2027-1.1.16.screen.csv,2.1228275299072266
BIOGRID-ORCS-SCREEN_2028-1.1.16.screen.csv,2.1227378845214844
BIOGRID-ORCS-SCREEN_2035-1.1.16.screen.csv,2.1221752166748047
BIOGRID-ORCS-SCREEN_1787-1.1.16.screen.csv,2.1212453842163086
BIOGRID-ORCS-SCREEN_1163-1.1.16.screen.csv,2.120028495788574
BIOGRID-ORCS-SCREEN_1989-1.1.16.screen.csv,2.118441581726074
BIOGRID-ORCS-SCREEN_2025-1.1.16.screen.csv,2.1177473068237305
BIOGRID-ORCS-SCREEN_1790-1.1.16.screen.csv,2.1162548065185547
BIOGRID-ORCS-SCREEN_1795-1.1.16.screen.csv,2.115589141845703
BIOGRID-ORCS-SCREEN_1793-1.1.16.screen.csv,2.1152515411376953
BIOGRID-ORCS-SCREEN_1796-1.1.16.screen.csv,2.1150407791137695
BIOGRID-ORCS-SCREEN_1789-1.1.16.screen.csv,2.114931106567383
BIOGRID-ORCS-SCREEN_1209-1.1.16.screen.csv,2.1148061752319336
BIOGRID-ORCS-SCREEN_1794-1.1.16.screen.csv,2.1147499084472656
BIOGRID-ORCS-SCREEN_1797-1.1.16.screen.csv,2.114312171936035
BIOGRID-ORCS-SCREEN_1798-1.1.16.screen.csv,2.113628387451172
BIOGRID-ORCS-SCREEN_1204-1.1.16.screen.csv,2.1130809783935547
BIOGRID-ORCS-SCREEN_1210-1.1.16.screen.csv,2.1125707626342773
BIOGRID-ORCS-SCREEN_371-1.1.16.screen.csv,2.111949920654297
BIOGRID-ORCS-SCREEN_1110-1.1.16.screen.csv,2.1114025115966797
BIOGRID-ORCS-SCREEN_1109-1.1.16.screen.csv,2.111386299133301
BIOGRID-ORCS-SCREEN_1990-1.1.16.screen.csv,2.1112289428710938
BIOGRID-ORCS-SCREEN_1390-1.1.16.screen.csv,2.1091384887695312
BIOGRID-ORCS-SCREEN_1583-1.1.16.screen.csv,2.1070337295532227
BIOGRID-ORCS-SCREEN_1582-1.1.16.screen.csv,2.1068172454833984
BIOGRID-ORCS-SCREEN_1863-1.1.16.screen.csv,2.1054630279541016
BIOGRID-ORCS-SCREEN_1393-1.1.16.screen.csv,2.1050405502319336
BIOGRID-ORCS-SCREEN_1164-1.1.16.screen.csv,2.104475975036621
BIOGRID-ORCS-SCREEN_2214-1.1.16.screen.csv,2.1044235229492188
BIOGRID-ORCS-SCREEN_2221-1.1.16.screen.csv,2.103968620300293
BIOGRID-ORCS-SCREEN_1166-1.1.16.screen.csv,2.1039113998413086
